"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\selectors\codeSelector.js", "JavaScript", 0, 40, 0, 0, 0, 11, 5, 56
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\selectors\defaultSelector.js", "JavaScript", 0, 60, 0, 0, 0, 1, 8, 69
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\selectors\departSelector.js", "JavaScript", 0, 57, 0, 0, 0, 1, 8, 66
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\selectors\inputSelector.js", "JavaScript", 0, 31, 0, 0, 0, 43, 4, 78
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\components\selectors\ouvrageSelector.js", "JavaScript", 0, 40, 0, 0, 0, 0, 5, 45
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\affichage\affichageModal.js", "JavaScript", 0, 63, 0, 0, 0, 14, 7, 84
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\affichage\affichageTable.js", "JavaScript", 0, 85, 0, 0, 0, 6, 10, 101
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\affichage\printWrapper.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\planning\planningOperations.js", "JavaScript", 0, 58, 0, 0, 0, 6, 7, 71
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\planning\planningUpdateFormInfos.js", "JavaScript", 0, 129, 0, 0, 0, 9, 12, 150
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\planning\planningUpdateForms.js", "JavaScript", 0, 468, 0, 0, 0, 9, 17, 494
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\register.js", "JavaScript", 0, 114, 0, 0, 0, 5, 7, 126
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\crud\userUpdateForm.js", "JavaScript", 0, 112, 0, 0, 0, 5, 9, 126
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\Auth\login.js", "JavaScript", 0, 133, 0, 0, 0, 7, 11, 151
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\Planning\planning.js", "JavaScript", 0, 114, 0, 0, 0, 10, 13, 137
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\Planning\planningForm.js", "JavaScript", 0, 437, 0, 0, 0, 8, 18, 463
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\Planning\planningFormInfos.js", "JavaScript", 0, 119, 0, 0, 0, 21, 9, 149
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\dashboard.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\formulaires.js", "JavaScript", 0, 66, 0, 0, 0, 0, 3, 69
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\gis\gis.js", "JavaScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\gis\gisComponent.js", "JavaScript", 0, 233, 0, 0, 0, 44, 23, 300
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\gis\gisScale.js", "JavaScript", 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\gis\gisStyles.js", "JavaScript", 0, 55, 0, 0, 0, 0, 8, 63
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\gis\legend.js", "JavaScript", 0, 33, 0, 0, 0, 0, 1, 34
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\pages\stats.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\redux\actions\authAction.js", "JavaScript", 0, 67, 0, 0, 0, 5, 6, 78
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\redux\actions\planningAction.js", "JavaScript", 0, 47, 0, 0, 0, 1, 6, 54
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\redux\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\redux\reducers\authReducer.js", "JavaScript", 0, 51, 0, 0, 0, 0, 6, 57
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\redux\reducers\planningReducer.js", "JavaScript", 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\static\staticPath.js", "JavaScript", 0, 11, 0, 0, 0, 2, 0, 13
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\static\staticVar.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\styles\PlanningFormsModal.css", "CSS", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\styles\login.css", "CSS", 0, 0, 81, 0, 0, 0, 1, 82
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\styles\main.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\styles\popupStyler.css", "CSS", 0, 0, 333, 0, 0, 7, 13, 353
"c:\Users\pc hp\Desktop\coding\Authentification\client\src\styles\sideBar.css", "CSS", 0, 0, 25, 0, 0, 0, 3, 28
"Total", "-", 26, 3398, 466, 18, 30502, 235, 343, 34988
